PlayBGM,ADV_despair
SetCharacter_A,色織　叶芽
SetSpeakTiming,0
Speak_A,先輩、お疲れ様です。
Speak_A,先ほど、解析チームから連絡がありました。
Speak_A,……はい。例のシナーについてです。
Speak_A,ついに明日、活動を再開する兆候が|見られたとの連絡でした。
Speak_A,いよいよこの時がやってきた、|という感じですね。
Speak_A,こほん。では先輩、意気込みをどうぞ！
Speak_A,……先輩。顔の表情が死んでいますよ。
Speak_A,やはり不安でしょうか……？
Speak_A,不安が無いなんて言っていたら、|すでになんらかの影響を受けているかどうか|疑うところです。
Speak_A,むしろその顔が見れて、|一安心かもしれません。
Speak_A,実を言うと私も不安なんです……。
Speak_A,私たちのミス1つで取り返しのつかないことになると想像するとやはり……。
Speak_A,――――そうですね。こういう時こそ深呼吸ですね。
SetSpeakTiming,2
Speak_A,スーー……ハーーーー。
SetSpeakTiming,1
Speak_A,ふーー……。|なんだか落ち着いてきました……。
SetSpeakTiming,0
Speak_A,よしっ。では、気持ちを切り替えて|いきましょう。
Speak_A,こんなところで項垂れていたら黒影さんに|合わせる顔がないですもんね。
Speak_A,先輩、景気づけにコーヒーを1杯|いかがでしょうか？|とびっきりの一杯をご馳走しますよ！
Speak_A,――ご注文ありがとうございます。|少々お待ちくださいね。
SetSpeakTiming,1
Speak_A,――――はい。|どうぞ、熱いので気をつけてくださいね。
SetSpeakTiming,0
Speak_A,では明日のためにも、もう1度口頭で|確認いたしましょうか。
Speak_A,あのシナーの能力は、隔離区画内に存在するシナーに対し、何らかの影響を及ぼします。
Speak_A,そして、一定時間内に影響を受けたシナーに配達しなければなんらかの異常が発生。
Speak_A,一番厄介な異常としては時間遡行ですが、|この影響範囲は未知数です。
Speak_A,何がどう巻き戻るのかについての記載は|この資料にありません。
Speak_A,謎は多いままですが、この情報を基に|私たちは対処していくしかありません。
Speak_A,明日の決戦を前にまずは、|本日の業務を終わらせましょう。
SetCharacter_D,アナウンス
Speak_D,ピィー……ッガガ。
Speak_D,――月29日。|本日の運送業務を開始します。
Speak_A,行きましょう、先輩。|ここが踏ん張りどころですよ。
End,
