PlayBGM,ADV_everyday
SetCharacter_C,知鳴　朔人
SetSpeakTiming,0
Speak_C,おっ、お疲れ～！今日もよろしくな！
Speak_C,やっぱり、親睦を深めるためには|まずは連絡先の交換だよな～。
Speak_C,あんたはNETやってるか？
Speak_C,…………え。NET……知らない？
Speak_C,……マジか。オーケー、オーケー。|NETって言うのはだな。
Speak_C,Now Express Talkって言って、|「今を自由に語り合う」というのが|コンセプトの情報通信サービスのことだよ。
Speak_C,ニュース番組や新聞でしか集められなかった情報達が、いろんな人を通じてここに|集まって来る場所ってわけだ。
Speak_C,ただ……まあ、いろんな人が利用してるから必然っちゃ必然なんだが、|中には悪い奴もいてな。
Speak_C,そういうやつに気を付けないといけないのは世界のどこにいても変わらないな。
Speak_C,……人を疑い深くいないといけないのは、|あの時と同じ感じであまり|好きじゃないんだけどな。
Speak_C,まあ自分を守るためだ。|仕方ない話だけどね。
Speak_C,後は……使う時の注意する事とかか？
Speak_C,そうだな……まずは個人の情報に|繋がることは書き込まない。|これは鉄則だ。
Speak_C,それと、会社に関係する情報は|絶対NGだな。
Speak_C,この手の話は、バレたら|クビがかかってるからな。
Speak_C,会社から出た瞬間に仕事のことは何もかも|忘れて生活するのが1番ってやつだ。
Speak_C,それでもって忘れちゃいけないのは、|人と関わる時に互いに思いやる心だな！
Speak_C,とまあ、こんなもんか？
SetCharacter_D,アナウンス
Speak_D,ピィー…ッガガ。
Speak_D,――月6日。本日の運送業務を開始します。
RemoveCharacter_D,
Speak_C,おっし、今日はここまで！
Speak_C,じゃあ、気合い入れていこうぜ！
End,
