PlayBGM,ADV_wonder
SetCharacter_C,知鳴　朔人
SetSpeakTiming,0
Speak_C,お疲れ。改めて、自己紹介だ。|俺は「知鳴 朔人」よろしく！
Speak_C,昨日はあんまり話せなかったしな。|業務前の雑談としゃれこもうか。
Speak_C,お、コーヒー。いつも飲むのか？
Speak_C,朝のコーヒーは、覚醒作用があるって|よく聞くよな。
Speak_C,業務は長いし、集中力をか～な～り|使うもんな～。
Speak_C,そんでもって、その大半は資料を漁って|文字とにらめっこ。
Speak_C,デスクワークって言っても|結構ハードだよな～。
Speak_C,まあ、その割には金払いが良くって|俺的にはうれしいけど。
Speak_C,あ～……そうそう。お金。
Speak_C,ここに入社した最大の理由だよ。
Speak_C,やりたいことのためにお金をためてるのさ。
Speak_C,後は、何かしようと思い立っても、|お金がなくっちゃ動けなくなるからな。
Speak_C,金はどれだけあってもいい。
Speak_C,あるだけである程度、人は安心できるしな。
Speak_C,ほら、よく聞くだろ。|通帳見て心落ち着かせるやつ。
Speak_C,俺はあのタイプの人間なんだよ。
Speak_C,それで、あんたは何か入社した|理由はあるのか？
Speak_C,……。すごい難しい顔してるな。
Speak_C,まあ答えは人それぞれだよな。
Speak_C,それに、いつか聞かせてくれれば大丈夫さ。
SetCharacter_D,アナウンス
Speak_D,ピィー……ッガガ。
Speak_D,――月5日。|本日の運送業務を開始します。
RemoveCharacter_D,
Speak_C,時間だね。雑談は終了～っと。
Speak_C,さあ、切り替えて業務といこうか。
End,
