SetCharacter_A,上司
SetSpeakTiming,
Speak_A,おや……お疲れ、今日は君の方が早い|ようだね。
Speak_A,ああ。彼女は誰よりも早く出社していることが多くてね。
Speak_A,彼女曰く、もっと早くみんなの力になれる|ようにとな。
Speak_A,彼女の真面目さには目を見張るものがある。
Speak_A,だが、少し野暮なことを言ってしまえば、|会社からは持ち出せない資料が多いからな。
Speak_A,必然と足が会社に向かってしまうのは理由の一つとしてあるのかもしれないが……。
Speak_A,しかし彼女は、頑張りすぎる節があるよう|でね。
Speak_A,大学では、研究室に籠ることも多々あったと聞いている。
Speak_A,むしろ、少しでも長く休める時間がある|ことは良い事なのかもしれない。
Speak_A,………………。
Speak_A,――――あぁ。すまない。彼の件もあって、何か思い詰めていないか少し気になっている|ところでね。
Speak_A,出来るだけ相談してほしいとは声をかけてはいるが、なかなか言い出しにくいこともあるからね。
Speak_A,それと、私は年が離れていることもあって|なのか、声をかけられること自体が少なく|なってきている気もするが……。
Speak_A,今の私にできることは辛抱強く待ち、助けを求められたら自身の全力をもって力になってやる事だ。
Speak_A,情けは人の為ならずとも言うからね、君も|誰かに助けを求められた時には自ら進んで|助けてやってほしい。
Speak_A,と言ってもこのことに関して、私は何も心配していない。
Speak_A,君はもうこれらを実行していると思って|いるからな。
Speak_A,だからこそ、君が誰とでも打ち解けられる、人を惹きつけるという魅力に繋がっていると|感じているからね。
RemoveCharacter_A,
SetCharacter_B,上司
SetCharacter_C,同僚B
Speak_C,――――お疲れ様です！|すみません、遅れてしまいました！
Speak_B,お疲れ、遅れてはいないから安心したまえ。
Speak_B,それよりも、ゆっくりと体を休めることは|できたか？
Speak_C,はい、いつもより体調が良くて何でも|できそうなくらいです！
Speak_B,それならいい。だが、無理はしてはいけないからな。
Speak_B,何かあったらどんどん頼ってくれ。
SetCharacter_D,アナウンス
Speak_D,ピィー……ッガガ。
Speak_D,――月19日。|本日の運送業務を開始します。
RemoveCharacter_D,
Speak_B,時間のようだ。二人とも、今日もよろしく|お願いするよ。
Speak_C,では行きましょう、先輩！
End,
