SetCharacter_A,上司
SetSpeakTiming,0
Speak_A,お疲れ。すまないね。連日、君に頼り切って|しまう形になってしまって。
Speak_A,今日は私も業務にあたることになる。|よろしく頼むよ。
Speak_A,おや、報告の件についてか？
Speak_A,なに、君のおかげで滞りなくできたからね。
Speak_A,今日はその恩返しというのもある。
Speak_A,ふむ……。そうだな……。
Speak_A,あの件について少し話そうか。
Speak_A,君にも関係がある話でもあるからな……。
Speak_A,あの件は、とあるシナーによる影響が主な|原因だった。
Speak_A,先日の彼のミスが決め手となったのは事実|だが、直接的な原因はもっと前にあった。
Speak_A,彼が起こした最初のミス、それが始まり|だった。
Speak_A,君も聞いただろう。「あれは、悪い夢」と。
Speak_A,おそらく、その日を境に彼は悪夢を見る|ようになった。
Speak_A,悪夢の内容は分からないが、確実に衰弱|させる病原体としては十分だった。
Speak_A,そうして蓄積された疲れは、管理区画が|増えたことによるミスを誘発させたという|わけだ。
Speak_A,不幸に不幸が重なった結果と言えるが、私ももう少し気を配っていれれば彼を助けられたかもしれなかった。
SetSpeakTiming,1
Speak_A,………………。
SetSpeakTiming,0
Speak_A,ふむ……。しんみりとした話はここまでだ。
Speak_A,君も何かあったら相談してくれ。
Speak_A,必ず……とまでは断言できないが、|全力をもって応えよう。
SetCharacter_D,アナウンス
Speak_D,ピィー……ッガガ。
Speak_D,――月15日。|本日の運送業務を開始します。
RemoveCharacter_D,
Speak_A,時間だが、業務の前にもう1つ。|伝え忘れていたことがある。
Speak_A,明日から君の新しいパートナーが|やってくる。
Speak_A,今度は君が彼女にいろいろ教えてやって|ほしい。
Speak_A,さて、伝えることは終了だ。
Speak_A,改めて今日はよろしく頼むよ。
End,
