SetCharacter_A,同僚B
SetSpeakTiming,0
Speak_A,お疲れ様です、先輩。
Speak_A,本日の業務も頑張りましょう。
Speak_A,えっと、業務について何か気になる事……|ですか？
Speak_A,そうですね……。
Speak_A,シナーについても気になる事ばかりですが、|強いて言うなら配達物の中身について|でしょうか……。
Speak_A,何の変哲もない箱の中には、シナーを抑制|する何かが入っている。
Speak_A,私は先程、運送チームに無理を言って触れてきましたが……。
Speak_A,中身が入っているはずの箱は重くも軽くも|ない不思議な感覚でした。
Speak_A,先輩は箱の中身について考えたことは|ありますか？
Speak_A,……ふむふむ。特に考えたことはないと。
Speak_A,確かに、私たちオペレーター側の人間は|箱そのものに触れるような機会はあまり|無さそうですからね。
Speak_A,では先輩。先輩は箱の中身にはどんなものが入っていてほしいですか？
Speak_A,――砂時計……ですか。|なんだか趣深いものを選ぶんですね。
Speak_A,私ですか？そうですね……。今であれば、|メモ帳が欲しいですね。
Speak_A,いつどこでもメモが取れるように新しい|メモ帳が欲しいと思っていたんです。
Speak_A,ふふっ……、箱の中身を考えるだけで|いろいろと想像が膨らみますね。
SetCharacter_D,アナウンス
Speak_D,ピィー……ッガガ。
Speak_D,――月17日。|本日の運送業務を開始します。
RemoveCharacter_D,
Speak_A,アナウンスが鳴りましたね。
Speak_A,行きましょう、先輩。
End,
