PlayBGM,ADV_despair
SetCharacter_A,黒影　零司
SetSpeakTiming,0
Speak_A,ああ、君か。お疲れ。
Speak_A,昨日はすまなかった。君に業務のすべてを|任せる形になってしまって。
Speak_A,それと……。知鳴君の件についてだ。
Speak_A,私が彼に追いついた時にはすべてが手遅れ|だった。
Speak_A,それで、これから私は上に報告をしなくてはならない。
Speak_A,君から当時の状況について、|改めて詳しく聞く必要があってね。
Speak_A,協力してもらえるか？
SetSpeakTiming,2
Speak_A,――――ありがとう。
StopBGM,
PlayBGM,ADV_wonder
SetSpeakTiming,0
Speak_A,では早速、聞かせてもらえるか？
SetSpeakTiming,1
Speak_A,まず、休憩室に入って見えたのは電源の|ついていないテレビを見つめていた彼の姿。
Speak_A,その様子は、どこか追い詰められたような|様子だったと。
Speak_A,そして、彼は外部からと思われる電話を|取り、母が死んだと告げられた。
Speak_A,そうして休憩室からふらふらと|出ていった……。
Speak_A,なるほど…………。
SetSpeakTiming,0
Speak_A,ふむ……。不可解な点が2つあるな。
Speak_A,1つはあの時にも言っていたと思うが、外部からの電話の件だ。
Speak_A,我々に支給されている連絡手段であるスマホだが……。
Speak_A,これは、主にヘリオス内部同士でしか通信が繋がらないようになっている。
Speak_A,それともう1点。詳細は省くが、彼の母親についてだ。
Speak_A,彼の母親は生きている。私の調べではな。
Speak_A,聞かせてくれてありがとう。感謝する。
SetCharacter_D,アナウンス
Speak_D,ピィー……ッガガ。
Speak_D,――月14日。|本日の運送業務を開始します。
RemoveCharacter_D,
Speak_A,時間だな。
Speak_A,すまないが、今日の業務もよろしく頼むよ。
End,
