PlayBGM,ADV_despair
SetCharacter_B,黒影　零司
SetCharacter_C,色織　叶芽
SetSpeakTiming,0
Speak_B,おや、来たか。
Speak_C,先輩も来たことですし、|さっそく始めましょう。
Speak_B,そうだな。早速だが例のシナーについて、|資料が届いた。
Speak_B,口頭とはなるが、概要を確認しよう。
Speak_B,まず、隔離区画内に存在するシナーを対象に|何らかの影響を与えるらしい。
Speak_B,これについては、他シナーにストレスを|与えるようなイメージだ。
Speak_B,この影響を受けたシナーに対して、一定の|時間内に配送を行わなければならない|とのことだ。
Speak_B,我々が行うこと自体は変わらないが、|イレギュラーはいつ起こるかわからない。
Speak_B,お互いをカバーし合い、柔軟な対応を|心掛けてほしい。
Speak_C,ですが、これだけではないのですよね？
Speak_B,ああ。簡潔に言えば、配送チームへの攻撃|とのことだ。
Speak_B,この被害によって配送自体が困難になれば、|被害規模は指数関数的に増えるだろう。
Speak_C,…………やはり危険性の高いシナーですね。
Speak_B,だが幸いなことに、これは条件付きらしい。
Speak_B,先ほどの影響を受けたシナーへの配送を|時間内に何度かできなかった場合に、|攻撃をしてくるといった内容らしい。
Speak_B,どちらにせよ、いつもとやることは|変わらない。
Speak_B,影響を受けたシナーを優先的に対処し、|攻撃をさせないように立ち回るのが|ベストのようだ。
Speak_B,そして、だ。なにやら不穏な単語が|記載されていてな。
Speak_C,時間遡行現象……？これは……？
Speak_B,記載の通り、時間を遡るといった|内容だろう。
Speak_B,どうやって調べているのかまったく見当も|つかないが、資料に記載されている以上、|注意しなければならない。
Speak_C,もし仮に時が戻るというのであれば、|私たちが注意するも何も、気づくことが|できないのではないでしょうか？
Speak_B,……ふむ。色織君の言う通り、|おそらく気づくことはできないだろう。
Speak_B,しかし、これも異常の1つだ。異常の発生、その力の揺らぎのようなものは知覚できるのかもしれん。
Speak_B,といっても、この力はあまりに未知数だ。
Speak_B,知らぬ間に手詰まりに陥る、なんてことが|無いように祈るしかない。
Speak_B,しかし……時間遡行か…………。
Speak_C,どうかしましたか？上司さん？
Speak_B,いや、何でもない。君たちがここに|やってきたときのことを思い出してね。
Speak_B,まさかここまで忙しくなるとは思っても|みなかったが。
Speak_B,と言っても、私は君たちと仕事ができて|心からうれしく思うよ。
Speak_C,……私もその通りだと思います。
Speak_C,あの時お声をかけてくださらなければ、未だ研究室で何の進展も出会いも無かったと|思います。
Speak_C,ありがとうございます、上司さん。
Speak_B,なに、お礼を言うのはこちらのほうだ。
Speak_B,ありがとう。|こんな上司についてきてくれて。
SetCharacter_D,アナウンス
Speak_D,ピィー……ッガガ。
Speak_D,――月28日。|本日の運送業務を開始します。
Speak_B,……ふむ。時間のようだな。
Speak_B,改めて、安全を第一に業務にあたってくれ。
Speak_B,これからも君たちの活躍を期待しているよ。
Speak_B,あとは、よろしく頼むよ。
Speak_C,――――お任せください。黒影さん。
Speak_C,では……行きましょうか先輩。
End,
