PlayBGM,ADV_wonder
SetCharacter_A,色織　叶芽
SetSpeakTiming,0
Speak_A,…………あっ、お疲れ様です。
Speak_A,来ていたんですね……。|気づきませんでした。
Speak_A,あぁ、この本ですか？
Speak_A,この本は精神医学の本ですね。
Speak_A,今後に生かせると思って読んでいたんです。
Speak_A,理由は……そうですね……。
Speak_A,業務上、私たちオペレーターチームが|運送チームの命を握っている状態といっても|差し支えないですよね。
Speak_A,ですが、オペレーターチームにも影響を|及ぼすシナーがいるのが厄介な点です。
Speak_A,そして……、それらは精神的な影響を及ぼすものが多い傾向にあります。
Speak_A,これらの影響下で私たちがミスが増えれば、それだけ被害が増加します。
Speak_A,そこで、シナーからの影響を軽減するため、この本から対抗策の糸口がないか模索して|いたんです。
Speak_A,と言っても……、昨日の今日で見つかるはずないですよね……。
Speak_A,……そうですね。こういうのはもっと時間をかけるべきですね。
Speak_A,少し……早とちりしていたみたいです。
Speak_A,ありがとうございます。先輩。
Speak_A,何か思いついたら共有しますね。
SetCharacter_D,アナウンス
Speak_D,ピィー……ッガガ。
Speak_D,――月18日。|本日の運送業務を開始します。
RemoveCharacter_D,
Speak_A,時間になりましたね。
Speak_A,本日もよろしくお願いしますね。
End,
