SetCharacter_A,同僚B
SetSpeakTiming,0
Speak_A,先輩、昨日はお疲れ様でした。
Speak_A,業務の後、超大型シナーにおける被害までの経緯を聞いてきました。
Speak_A,超大型シナーが出現したその瞬間に、|各管理区画にいるシナーが暴走。
Speak_A,管理区画に居た運送チームには物理的な人的被害を被り、RRCに控えていたメンバーは精神的な被害が現れたそうです。
Speak_A,そうした被害を受け、現場は一時的に混乱に|陥ったそうです。
Speak_A,そんな中でも、被害を抑えるため奮闘した|従業員には深甚なる敬意を抱きます。
Speak_A,そして、先輩のおかげでさらなる被害の拡大を抑えることができたと思います。
Speak_A,従業員の1人としてお礼を言わせて下さい。
Speak_A,ありがとうございます、先輩。
Speak_A,未だ超大型シナーの活動兆候は見られない|とのことですが、不安は募るばかりです。
SetCharacter_D,アナウンサー
Speak_D,――――次のニュースです。
Speak_D,昨日――時頃、不審死事件が発生しました。
Speak_D,今年に入って通算N件目となり、今月は該当事例数および死者数が過去最多の記録を更新しました。
Speak_D,各関係機関が調査を進めており、国民には|引き続き注意が呼びかけられています。
Speak_D,次は、天気予報です――――
RemoveCharacter_D,
Speak_A,………………。先輩、失礼を承知で|質問させてください。
Speak_A,――――不審死について、|……どうお考えでしょうか？
Speak_A,私は、この現象における人の死には|まるで意味がないと感じるのです。
Speak_A,どんな形であっても死というものは、|尊いものであり悲しいものだと思います。
Speak_A,死、それは言い換えれば終わり。
Speak_A,その終わりは必然かつ平等で、けれどいつ|訪れるか分からない不公平なもの。
Speak_A,その終わりがあるからこそ、それまでの時間を充実させるために目標を掲げ、自身を高めていきます。
Speak_A,終わりを迎える時、自分が生きていた証を|残していけるように。
Speak_A,自分が選択した現在に、何の後悔や未練は|無いと過去の自分に向かって胸を張って|言えるように。
Speak_A,ですが……、不審死という現象は|理不尽で不条理なもの。
Speak_A,可能性の芽を咲かせ、希望の花ともなりえたその芽を意味もなく、ただ無慈悲に|摘み取っていくのです。
Speak_A,私には、それが本当に許せないのです……。
Speak_A,それだけ、尊いものであったその生と死に、意味が無かったものなどと言わせたくないのです。
Speak_A,だからこそ、私はそれに意味をもたらしたいのです。
Speak_A,先輩……。私は……、|私は間違っているのでしょうか……？
SetSpeakTiming,1.5
Speak_A,――――――！
SetSpeakTiming,0
Speak_A,ふぅ…………。|先輩、お願いがあります。
Speak_A,明日は、少し早めに来ていただけませんか？
Speak_A,――――ありがとうございます。
SetCharacter_D,アナウンス
Speak_D,ピィー…ッガガ。
Speak_D,――月25日。|本日の運送業務を開始します。
RemoveCharacter_D,
Speak_A,まずは今日の業務を乗り越えましょう。
Speak_A,行きましょう…………！
End,
