PlayBGM,ADV_despair
SetCharacter_B,黒影　零司
SetCharacter_C,色織　叶芽
SetSpeakTiming,0
Speak_B,ふぅー…………。
Speak_C,黒影さんもお疲れのようですね……。|ちゃんと体を休められていますか？
Speak_B,最近も厄介ごとが絶えなくてな、これでは|調査もままならん。
Speak_B,だがあの時、色織君に|協力を仰いで正解だった。
Speak_C,そう言っていただけてうれしい限りです。
Speak_C,ですが……此方もあまり進展がないのが実情ですね……。
Speak_B,それでも、闇雲に１人で動くよりは効率的|だからな。
Speak_B,ありがとう。感謝しているよ。
Speak_B,おや、来たか。
Speak_B,何の話をしていたのかって？……ふむ、|気になるかね？
Speak_B,隠すようなことでもないさ。言ってしまえば|シナーについての話でね。
Speak_B,君も色織君から聞いたとは思うが、何か|対抗策がないか議論していたところだ。
Speak_B,さて、2人揃ったところで悪い知らせだ。
Speak_B,申し訳ないが、君たちが管理する区画が|増えることとなった。
Speak_B,またしても上からの命令でな……。
Speak_B,どうやら上層部は君がお気に入りのようだ。
Speak_B,色織君も巻き込むような形になって|すまないね。
Speak_C,いえ、忙しくなることは喜ばしいことだと|言いますから。
Speak_C,それと、上層部がそれだけ……先輩を|信頼しているということでしょう？
Speak_B,……ふむ、そうだな。
SetCharacter_D,アナウンス
Speak_D,ピィー……ッガガ。
Speak_D,――月20日。|本日の運送業務を開始します。
RemoveCharacter_D,
Speak_B,時間か。
Speak_B,では、すまないが二人ともよろしく頼むよ。
End,
