PlayBGM,ADV_everyday
SetCharacter_B,黒影　零司
SetCharacter_C,色織　叶芽
SetSpeakTiming,0
Speak_B,おや、来たか。お疲れ。
Speak_C,お疲れ様です。
Speak_B,さて、君には伝えていたとは思うが、彼女が君の新しいパートナーだ。
Speak_B,自己紹介を頼む。
Speak_C,「色織 叶芽」と申します。|これからよろしくお願いいたします。
Speak_B,これからの業務には、彼女が君の補佐を|主軸として入ることとなっている。
Speak_B,と言っても、やること自体は変わらん。
Speak_B,あまり気を負わないように。
Speak_B,先日の件があるからね……。何かあったら|協力し、安全第一で臨んでくれ。
Speak_C,彼のお話は上司さんよりお耳に挟んで|おります。
Speak_C,お辛いかもしれませんが、業務に集中して|いきましょう。先輩。
Speak_C,……どうしたんです？面食らった顔をして。
Speak_C,あぁ……、「先輩」と呼ばれたことに|びっくりしたのですね。
Speak_C,私より2週間程の期間早いだけで、先輩と|呼ばれるのはなんだかむず痒い……ですか。
Speak_C,ふふっ……。不快といった様子ではないようなので、このまま先輩と呼ばせていただき|ますね。 
Speak_B,ふむ……。君には誰とでも打ち解けられる|長所があるようだ。
Speak_B,では、色織君のことは任せたよ。
SetCharacter_D,アナウンス
Speak_D,ピィー……ッガガ。
Speak_D,――月16日。|本日の運送業務を開始します。
RemoveCharacter_D,
Speak_C,……時間ですね。
Speak_C,改めてよろしくお願いします。先輩。
End,
