PlayBGM,ADV_wonder
SetCharacter_A,色織　叶芽
SetSpeakTiming,0
Speak_A,先輩、お疲れ様です。
Speak_A,例のシナーは未だ沈黙を貫いてはいますが、|本日も張り切っていきましょう。
Speak_A,……どうかしましたか？何か言いたげな顔をしていますね。
Speak_A,どうしてシナーの資料がこんなに正確なものなのか、ですか。
Speak_A,確かに、私たちの命綱であるこの資料には|感謝しかないですが、その精度は不気味な|ほどに正確です。
Speak_A,これだけのシナーの異常を観測し、解析、|記録を正確に保存しているのか……。
Speak_A,これほどの資料を作成するには途方もない|時間がかかるはず……。
Speak_A,それに…………一番考えたくないのは、|この資料の作成にあたって犠牲になった|人数です。
Speak_A,私たちがシナーと関わる上で切っても|切り離せないのは、彼らの能力の発現、|「異常」でしょう。
Speak_A,シナーの「異常」は、理論上では限りなく|0に近い数値することは可能ですが、|0にすることはできません。
Speak_A,しかし、これは資料があってこその話です。何も知らない状態で、人が死ぬような|分の悪い賭けはしたくはないでしょう。
Speak_A,となれば、これら資料作成の過程において、|シナーの異常が発生しないことは|まず無いといっていいでしょう。
Speak_A,「異常」は人を殺めるほどに強力なもの。
Speak_A,経験の集積ではなく、犠牲の統計で作られた資料であるならば……。
Speak_A,この資料は、それこそ命の結晶そのもの|といっても過言ではないでしょう。
Speak_A,ですが……疑問に思う点は資料だけでは|ありません。
Speak_A,根本的な疑問として挙がるのは、私達と密接な関係があるシナーとはいったい何なのか。
Speak_A,この場所、「ヘリオス隔離区画」とは、|果たしてシナーを隔離するためだけに|存在しているのか。
Speak_A,私たちの疑問は尽きませんし、真相もわかりません。ですが、これだけは言えます。
Speak_A,どの疑問も私たちの目的に通じていて、|いつかきっと真実に辿りつけると。
Speak_A,目的を達成するためにも、散在する|情報の断片を1つ1つ集めていきましょう。
SetCharacter_D,アナウンス
Speak_D,ピィー……ッガガ。
Speak_D,――月27日。|本日の運送業務を開始します。
Speak_A,では、本日も安全を第一に業務を|遂行しましょう。
Speak_A,よろしくお願いいたしますね、先輩。
End,
