0,12,0,0,0,15,0,6,0,0,6,7,0,0,15,0,6,0,13,0,6
3_270,2_0,2_0,2_0,2_0,2_0,3_180,0,9,3_270,2_0,2_0,4_180,2_0,2_0,2_0,2_0,2_0,2_0,3_180,11
2_90,0,21,0,0,11,2_90,9,0,2_90,0,15,2_90,0,0,0,6,0,0,2_90,0
2_90,11,0,0,6,0,2_90,0,0,2_90,11,0,2_90,0,11,12,0,8,0,2_90,6
2_90,0,6,3_270,2_0,2_0,4_0,2_0,2_0,5_0,2_0,2_0,4_0,2_0,2_0,2_0,3_180,7,13,2_90,6
2_90,13,8,2_90,10,0,11,9,0,2_90,16,0,13,0,11,0,2_90,0,0,4_270,2_0
2_90,0,10,2_90,0,7,0,8,10,2_90,12,0,7,8,0,15,2_90,0,6,2_90,0
2_90,0,6,2_90,0,0,10,0,0,2_90,16,13,0,6,7,0,2_90,9,0,2_90,0
2_90,15,0,4_270,2_0,2_0,5_0,2_0,2_0,5_0,2_0,2_0,3_180,0,7,0,2_90,0,17,2_90,6
2_90,0,6,2_90,0,10,2_90,8,6,2_90,6,7,2_90,9,6,12,2_90,6,0,2_90,6
2_90,6,0,2_90,7,0,2_90,7,7,17,6,8,2_90,10,0,3_270,4_0,2_0,4_180,4_0,2_0
2_90,6,6,2_90,12,8,2_90,8,8,8,8,7,2_90,0,6,2_90,14,0,2_90,0,0
3_0,2_0,2_0,5_0,2_0,2_0,4_0,2_0,3_180,6,3_270,2_0,4_0,2_0,2_0,4_90,0,8,2_90,15,0
0,7,18,2_90,8,13,0,0,2_90,7,2_90,0,0,0,18,2_90,15,0,2_90,8,8
8,0,0,2_90,0,0,0,6,2_90,9,2_90,0,6,16,0,2_90,0,7,2_90,0,0
0,8,12,2_90,0,6,3_270,2_0,4_0,2_0,4_0,2_0,2_0,4_180,2_0,3_90,16,6,2_90,7,7
7,0,0,2_90,15,0,2_90,12,0,0,16,0,14,2_90,8,0,6,0,2_90,13,6
6,0,6,2_90,0,0,2_90,0,0,15,0,13,0,2_90,12,6,0,17,2_90,0,15
0,3_270,2_0,4_0,2_0,2_0,5_0,2_0,2_0,2_0,2_0,2_0,2_0,5_0,2_0,2_0,2_0,2_0,4_0,4_180,2_0
7,2_90,0,7,0,0,2_90,0,8,0,0,6,0,2_90,0,7,0,0,6,2_90,10
0,2_90,6,7,8,0,2_90,0,8,7,8,0,0,2_90,21,6,7,6,7,2_90,11
