8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,7,7,7,7,7,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,7,8,0,8,7,8,8,8,8,8,8,8,8
7,7,8,8,8,8,8,8,7,0,9,0,7,8,8,8,8,8,8,7,7
3_180,7,7,7,7,7,8,8,7,0,2_90,0,7,8,8,7,7,7,7,7,3_270
3_0,2_0,2_0,2_0,3_180,7,7,7,7,8,2_90,8,7,7,7,7,3_270,2_0,2_0,2_0,3_90
6,6,6,6,3_0,2_0,2_0,3_180,7,7,2_90,7,7,3_270,2_0,2_0,3_90,6,6,6,6
6,6,0,0,6,6,6,3_0,2_0,3_180,2_90,3_270,2_0,3_90,6,6,6,0,0,6,6
2_0,2_0,2_0,3_180,0,6,0,6,6,3_0,5_0,3_90,6,6,0,6,0,3_270,2_0,2_0,2_0
0,7,6,3_0,2_0,2_0,3_180,0,6,6,2_90,6,6,0,3_270,2_0,2_0,3_90,6,7,0
0,8,0,6,0,6,3_0,2_0,3_180,6,2_90,6,3_270,2_0,3_90,6,0,6,0,8,0
2_0,3_180,0,0,8,7,6,6,3_0,2_0,5_0,2_0,3_90,6,6,7,8,0,0,3_270,2_0
0,3_0,2_0,2_0,3_180,0,7,0,8,0,2_90,0,8,0,7,0,3_270,2_0,2_0,3_90,0
0,0,6,0,3_0,2_0,2_0,3_180,0,6,2_90,6,0,3_270,2_0,2_0,3_90,0,6,0,0
6,0,0,0,6,0,0,3_0,2_0,2_0,5_0,2_0,2_0,3_90,0,0,6,0,0,0,6
2_0,2_0,2_0,3_180,0,0,0,6,0,0,2_90,0,0,6,0,0,0,3_270,2_0,2_0,2_0
6,6,6,3_0,2_0,2_0,2_0,3_180,0,6,2_90,6,0,3_270,2_0,2_0,2_0,3_90,6,6,6
7,6,7,7,6,6,7,3_0,2_0,2_0,5_0,2_0,2_0,3_90,7,6,6,7,7,6,7
8,7,8,8,7,7,8,8,8,7,2_90,7,8,8,8,7,7,8,8,7,8
7,6,7,7,6,6,7,7,7,6,2_90,6,7,7,7,6,6,7,7,6,7
6,6,6,6,6,6,6,6,6,6,2_90,6,6,6,6,6,6,6,6,6,6
