0,0,2_90,13,0,7,8,6,6,0,12,2_90,0,0,9,0,2_90,9,0,2_90,9
0,0,2_90,0,0,0,6,0,0,18,0,2_90,0,3_270,2_0,2_0,5_0,2_0,2_0,4_90,0
10,0,2_90,0,7,0,0,0,8,3_270,2_0,5_0,2_0,3_90,7,0,2_90,6,0,2_90,6
2_0,2_0,4_90,6,0,10,9,6,3_270,3_90,8,2_90,9,6,0,7,2_90,0,8,3_0,3_90
8,0,2_90,17,6,3_270,2_0,2_0,3_90,0,0,2_90,6,0,8,14,2_90,10,8,0,2_90
0,10,4_270,2_0,2_0,3_90,0,0,16,6,10,2_90,0,6,8,0,2_90,0,0,10,2_90
7,0,2_90,8,0,7,6,7,0,7,0,2_90,10,0,0,14,2_90,10,0,0,2_90
6,0,2_90,17,7,0,0,8,0,0,15,2_90,6,7,8,0,2_90,6,18,3_0,3_90
0,6,2_90,6,0,6,0,12,0,9,0,2_90,0,6,17,7,2_90,6,0,2_90,0
2_0,2_0,5_0,2_0,2_0,4_180,2_0,2_0,2_0,2_0,2_0,5_0,2_0,2_0,2_0,2_0,5_0,2_0,2_0,5_0,2_0
7,0,2_90,0,6,2_90,0,14,0,14,0,2_90,7,17,6,0,2_90,6,7,2_90,9
17,6,2_90,7,17,3_0,3_90,0,6,0,12,2_90,6,7,0,0,2_90,17,0,2_90,0
2_90,0,2_90,0,6,6,3_0,3_90,6,0,6,2_90,0,0,7,11,2_90,8,6,2_90,7
2_90,8,2_90,0,9,0,0,2_90,8,9,0,2_90,7,0,0,0,2_90,17,7,2_90,0
4_270,2_0,5_0,2_0,2_0,2_0,2_0,5_0,2_0,2_0,2_0,5_0,2_0,2_0,2_0,2_0,5_0,2_0,2_0,5_0,2_0
2_90,0,2_90,6,0,15,0,2_90,6,17,6,2_90,8,0,18,0,2_90,17,6,2_90,9
2_90,0,2_90,0,6,11,3_270,3_90,0,7,0,2_90,17,8,0,7,2_90,6,7,2_90,0
17,8,2_90,9,0,15,2_90,8,0,17,3_270,3_90,6,7,0,3_270,3_90,0,11,3_0,3_90
7,6,2_90,0,6,8,2_90,0,7,6,2_90,0,0,0,9,2_90,9,0,0,0,2_90
2_0,2_0,5_0,2_0,2_0,2_0,4_0,2_0,2_0,2_0,5_0,2_0,2_0,2_0,2_0,3_90,0,6,0,10,2_90
8,0,2_90,6,9,0,6,11,10,0,2_90,8,11,0,10,0,7,0,7,0,13
