7,2_90,14,0,0,2_90,15,0,0,7,6,8,0,8,0,6,7,7,7,0,6
0,3_0,2_0,4_180,2_0,3_90,6,0,7,8,6,0,7,0,6,13,0,6,3_270,2_0,2_0
0,6,0,2_90,0,8,8,7,8,6,8,7,6,8,3_270,2_0,2_0,2_0,3_90,0,10
7,8,12,2_90,11,7,8,9,0,6,0,13,0,7,2_90,9,7,0,9,7,8
7,8,8,4_270,2_0,2_0,2_0,2_0,2_0,2_0,4_180,2_0,2_0,2_0,4_90,8,6,7,0,6,8
0,7,8,2_90,12,8,6,10,7,10,2_90,6,7,0,2_90,13,0,6,7,7,8
12,2_0,2_0,3_90,0,8,6,8,6,7,2_90,7,6,6,2_90,9,7,6,15,8,13
0,6,9,9,6,8,7,11,7,12,2_90,10,7,0,3_0,2_0,2_0,4_180,2_0,2_0,2_0
8,0,8,8,6,3_270,2_0,2_0,2_0,2_0,4_90,0,0,8,0,8,0,2_90,13,7,9
7,7,8,7,0,2_90,0,7,8,0,2_90,6,0,10,7,7,10,2_90,6,7,8
8,9,6,8,9,2_90,7,7,8,6,3_0,2_0,2_0,2_0,3_180,0,8,2_90,8,6,7
11,3_270,2_0,4_180,2_0,3_90,0,8,8,8,8,11,7,6,2_90,6,3_270,3_90,8,6,6
0,2_90,8,2_90,7,0,7,8,2_90,11,8,8,7,0,2_90,13,2_90,6,7,7,12
12,2_90,6,3_0,2_0,2_0,2_0,2_0,3_90,12,8,7,8,7,3_0,2_0,5_0,2_0,2_0,2_0,2_0
0,2_90,7,7,8,10,6,8,8,8,8,0,7,0,7,8,2_90,0,0,0,0
12,2_90,7,6,8,7,8,0,8,7,8,8,0,6,3_270,2_0,3_90,0,0,0,X
0,3_0,2_0,2_0,3_180,8,8,6,8,8,8,7,7,3_270,3_90,0,0,X,X,X,X
7,7,11,8,3_0,2_0,2_0,2_0,2_0,3_180,8,8,8,2_90,0,0,0,X,X,X,X
6,0,8,0,7,0,6,0,8,3_0,2_0,2_0,2_0,3_90,0,0,X,X,X,X,X
8,7,8,7,8,7,0,8,8,7,8,8,8,7,0,X,X,X,X,X,X
8,8,0,6,8,8,8,6,8,0,8,7,8,8,0,X,X,X,X,X,X
