0,2_90,0,8,7,13,2_90,0,6,6,8,0,7,2_90,0,8,6,7,13,2_90,6
8,2_90,7,14,0,8,2_90,16,0,10,7,15,7,2_90,6,13,3_90,2_0,2_0,3_270,8
8,4_90,2_0,3_180,14,0,4_90,2_0,2_0,2_0,4_180,2_0,2_0,4_0,2_0,2_0,3_270,7,16,0,7
10,2_90,18,3_0,3_180,10,2_90,13,0,12,2_90,18,0,16,0,12,16,3_90,2_0,3_180,0
7,3_0,3_180,16,3_0,4_180,3_270,0,7,0,2_90,0,7,8,0,0,3_90,3_270,0,2_90,16
0,7,2_90,6,0,2_90,17,2_0,3_180,0,3_0,3_180,8,7,15,0,2_90,0,0,17,0
11,3_90,3_270,16,0,2_90,0,14,2_90,12,0,4_90,2_0,2_0,2_0,2_0,4_0,2_0,2_0,3_180,11
6,2_90,16,15,0,2_90,0,0,2_90,12,0,2_90,13,12,14,7,16,0,0,2_90,0
14,4_90,2_0,2_0,2_0,5_0,2_0,2_0,4_0,2_0,2_0,4_0,2_0,2_0,3_180,0,0,7,7,2_90,13
7,2_90,7,0,13,2_90,15,0,10,16,0,2_90,0,13,2_90,16,8,8,12,2_90,0
8,2_90,16,6,7,3_0,4_180,2_0,2_0,3_180,10,2_90,16,8,2_90,15,0,0,12,2_90,0
15,3_0,2_0,11,8,16,2_90,10,8,2_90,7,2_90,6,16,4_90,2_0,2_0,2_0,2_0,5_0,2_0
0,13,2_90,7,10,11,2_90,7,11,17,0,2_90,16,8,2_90,13,0,0,11,2_90,0
6,10,4_90,2_0,2_0,2_0,5_0,2_0,2_0,2_0,2_0,5_0,2_0,2_0,3_270,8,6,16,8,2_90,8
7,3_90,3_270,16,0,0,2_90,0,13,7,13,2_90,11,0,7,6,17,2_0,2_0,4_270,13
8,2_90,6,11,0,13,2_90,6,0,10,8,2_90,0,6,16,0,7,7,8,2_90,0
13,3_0,4_180,2_0,2_0,5_0,3_270,6,3_90,2_0,2_0,5_0,2_0,2_0,2_0,4_180,2_0,4_180,2_0,4_270,8
8,18,2_90,16,8,2_90,0,6,2_90,0,0,2_90,15,0,8,2_90,0,2_90,15,2_90,8
8,10,2_90,10,6,2_90,6,16,2_90,0,15,2_90,16,0,3_90,3_270,0,2_90,8,2_90,0
7,3_90,3_270,7,15,4_90,2_0,2_0,3_270,10,0,3_0,2_0,2_0,3_270,0,18,3_0,2_0,3_270,13
0,2_90,6,8,0,2_90,0,7,13,0,7,8,0,13,6,0,0,8,7,6,8
